household_income_2021,age,finance_400_emergency,financial_stability,financial_capacity,income
"Under $15,000",27.0,No,Unstable,3 – my time fluctuates,3103.0
"$25,000 to $34,999",33.0,No,Unstable,2 – I can afford only some of these items,29687.0
"$50,000 to $74,999",62.0,No,Fluctuating,1 – I cannot afford these items,55635.0
"$15,000 to $24,999",36.0,No,Unstable,2 – I can afford only some of these items,17444.0
"$15,000 to $24,999",32.0,No,Extremely unstable,2 – I can afford only some of these items,22702.0
"Under $15,000",58.0,Yes,Extremely unstable,2 – I can afford only some of these items,1880.0
"$25,000 to $34,999",24.0,No,Unstable,1 – I cannot afford these items,27480.0
"$25,000 to $34,999",33.0,No,Fluctuating,2 – I can afford only some of these items,33140.0
"Under $15,000",31.0,No,Fluctuating,2 – I can afford only some of these items,3966.0
"$15,000 to $24,999",36.0,Yes,Unstable,1 – I cannot afford these items,24512.0
"Under $15,000",33.0,No,Extremely unstable,2 – I can afford only some of these items,9926.0
"$25,000 to $34,999",40.0,No,Extremely unstable,2 – I can afford only some of these items,26518.0
"Under $15,000",41.0,Yes,Extremely unstable,2 – I can afford only some of these items,12693.0
"Under $15,000",26.0,No,Unstable,1 – I cannot afford these items,9147.0
"$15,000 to $24,999",41.0,Yes,Unstable,2 – I can afford only some of these items,20891.0
"$35,000 to $49,999",33.0,No,Unstable,1 – I cannot afford these items,40947.0
"$25,000 to $34,999",29.0,No,Fluctuating,2 – I can afford only some of these items,25696.0
"$15,000 to $24,999",31.0,No,Fluctuating,2 – I can afford only some of these items,23426.0
"$15,000 to $24,999",31.0,No,Extremely unstable,2 – I can afford only some of these items,15563.0
"Under $15,000",38.0,No,Extremely unstable,2 – I can afford only some of these items,1167.0
"Under $15,000",32.0,No,Unstable,1 – I cannot afford these items,3178.0
"$35,000 to $49,999",30.0,Yes,Fluctuating,3 – my time fluctuates,45002.0
"$15,000 to $24,999",27.0,Yes,Unstable,2 – I can afford only some of these items,19717.0
"Under $15,000",28.0,Yes,Fluctuating,4 – I can afford these items,7817.0
"Under $15,000",29.0,No,Extremely unstable,1 – I cannot afford these items,5503.0
"$15,000 to $24,999",52.0,No,Unstable,3 – my time fluctuates,19921.0
"Under $15,000",23.0,No,Fluctuating,2 – I can afford only some of these items,5902.0
"Under $15,000",30.0,No,Fluctuating,1 – I cannot afford these items,14210.0
"$25,000 to $34,999",32.0,Yes,Unstable,1 – I cannot afford these items,28285.0
"$15,000 to $24,999",64.0,Yes,Extremely unstable,1 – I cannot afford these items,22355.0
"$25,000 to $34,999",31.0,No,Fluctuating,2 – I can afford only some of these items,25697.0
"$15,000 to $24,999",39.0,Yes,Unstable,1 – I cannot afford these items,19625.0
"$15,000 to $24,999",28.0,No,Extremely unstable,1 – I cannot afford these items,19188.0
"$15,000 to $24,999",27.0,Yes,Unstable,2 – I can afford only some of these items,18419.0
"$25,000 to $34,999",26.0,Yes,Fluctuating,3 – my time fluctuates,31681.0
"$15,000 to $24,999",30.0,Yes,Unstable,2 – I can afford only some of these items,19337.0
"$35,000 to $49,999",36.0,Yes,Fluctuating,2 – I can afford only some of these items,36629.0
"$15,000 to $24,999",29.0,No,Fluctuating,2 – I can afford only some of these items,20628.0
"$15,000 to $24,999",34.0,No,Fluctuating,3 – my time fluctuates,22438.0
"Under $15,000",33.0,No,Extremely unstable,1 – I cannot afford these items,9727.0
"$15,000 to $24,999",25.0,No,Extremely unstable,2 – I can afford only some of these items,18604.0
"$15,000 to $24,999",31.0,No,Fluctuating,2 – I can afford only some of these items,18682.0
"$35,000 to $49,999",45.0,No,Extremely unstable,1 – I cannot afford these items,40906.0
"$35,000 to $49,999",37.0,No,Unstable,1 – I cannot afford these items,44515.0
"$15,000 to $24,999",22.0,No,Extremely unstable,3 – my time fluctuates,16888.0
"$25,000 to $34,999",33.0,No,Unstable,2 – I can afford only some of these items,29009.0
"Under $15,000",22.0,No,Fluctuating,1 – I cannot afford these items,805.0
"$25,000 to $34,999",53.0,No,Unstable,3 – my time fluctuates,30146.0
"$15,000 to $24,999",21.0,No,Unstable,2 – I can afford only some of these items,21120.0
"Under $15,000",23.0,No,Unstable,2 – I can afford only some of these items,4900.0
"$15,000 to $24,999",30.0,Yes,Extremely unstable,1 – I cannot afford these items,17510.0
"Under $15,000",33.0,No,Extremely unstable,1 – I cannot afford these items,14802.0
"$25,000 to $34,999",32.0,No,Unstable,2 – I can afford only some of these items,30943.0
"$15,000 to $24,999",29.0,No,Extremely unstable,1 – I cannot afford these items,24600.0
"$15,000 to $24,999",27.0,No,Unstable,1 – I cannot afford these items,24658.0
"$35,000 to $49,999",24.0,Yes,Fluctuating,2 – I can afford only some of these items,49407.0
"Under $15,000",24.0,No,Extremely unstable,1 – I cannot afford these items,747.0
"$35,000 to $49,999",56.0,Yes,Stable,3 – my time fluctuates,48904.0
"$15,000 to $24,999",30.0,No,Unstable,3 – my time fluctuates,17748.0
"$35,000 to $49,999",51.0,No,Extremely unstable,1 – I cannot afford these items,39624.0
"$15,000 to $24,999",59.0,Yes,Unstable,2 – I can afford only some of these items,16469.0
"$35,000 to $49,999",33.0,No,Unstable,1 – I cannot afford these items,44976.0
"$15,000 to $24,999",29.0,Yes,Fluctuating,1 – I cannot afford these items,19448.0
"$15,000 to $24,999",32.0,No,Unstable,1 – I cannot afford these items,23121.0
"$35,000 to $49,999",21.0,No,Stable,3 – my time fluctuates,48030.0
"$15,000 to $24,999",40.0,Yes,Fluctuating,3 – my time fluctuates,24898.0
"$15,000 to $24,999",33.0,No,Unstable,1 – I cannot afford these items,22531.0
"$25,000 to $34,999",35.0,Yes,Unstable,2 – I can afford only some of these items,30978.0
"$15,000 to $24,999",27.0,Yes,Extremely unstable,1 – I cannot afford these items,23280.0
"$15,000 to $24,999",34.0,No,Unstable,2 – I can afford only some of these items,22736.0
"$15,000 to $24,999",31.0,No,Unstable,1 – I cannot afford these items,15433.0
"$15,000 to $24,999",30.0,Yes,Extremely unstable,2 – I can afford only some of these items,21317.0
"Under $15,000",38.0,No,Unstable,1 – I cannot afford these items,11426.0
"Under $15,000",29.0,No,Unstable,2 – I can afford only some of these items,5863.0
"$15,000 to $24,999",27.0,Yes,Fluctuating,2 – I can afford only some of these items,22579.0
"$15,000 to $24,999",28.0,No,Extremely unstable,1 – I cannot afford these items,20914.0
"$35,000 to $49,999",39.0,No,Unstable,2 – I can afford only some of these items,38084.0
"Under $15,000",35.0,No,Extremely unstable,2 – I can afford only some of these items,6428.0
"$35,000 to $49,999",27.0,No,Fluctuating,3 – my time fluctuates,38831.0
"$15,000 to $24,999",68.0,No,Fluctuating,2 – I can afford only some of these items,21202.0
"Under $15,000",28.0,Yes,Unstable,1 – I cannot afford these items,14476.0
"$15,000 to $24,999",25.0,No,Unstable,2 – I can afford only some of these items,23720.0
"$25,000 to $34,999",70.0,No,Unstable,2 – I can afford only some of these items,32964.0
"$15,000 to $24,999",29.0,No,Extremely unstable,1 – I cannot afford these items,24897.0
"$15,000 to $24,999",38.0,Yes,Extremely unstable,2 – I can afford only some of these items,24273.0
"$15,000 to $24,999",23.0,No,Extremely unstable,1 – I cannot afford these items,15770.0
"$15,000 to $24,999",27.0,Yes,Fluctuating,3 – my time fluctuates,18206.0
"$15,000 to $24,999",23.0,No,Fluctuating,1 – I cannot afford these items,23435.0
"$25,000 to $34,999",26.0,Yes,Stable,3 – my time fluctuates,33743.0
"$15,000 to $24,999",31.0,No,Unstable,2 – I can afford only some of these items,22501.0
"Under $15,000",29.0,No,Unstable,5 – I have more than enough to afford materials,7323.0
"$25,000 to $34,999",26.0,Yes,Stable,3 – my time fluctuates,27642.0
"Under $15,000",28.0,No,Unstable,2 – I can afford only some of these items,10524.0
"$15,000 to $24,999",23.0,No,Extremely unstable,1 – I cannot afford these items,15596.0
"Under $15,000",25.0,No,Unstable,1 – I cannot afford these items,237.0
"Under $15,000",38.0,Yes,Unstable,3 – my time fluctuates,5219.0
"Under $15,000",33.0,Yes,Unstable,3 – my time fluctuates,11734.0
"$15,000 to $24,999",58.0,No,Fluctuating,1 – I cannot afford these items,18276.0
"$15,000 to $24,999",58.0,Yes,Fluctuating,2 – I can afford only some of these items,15564.0
"$15,000 to $24,999",23.0,No,Unstable,1 – I cannot afford these items,23612.0
"Under $15,000",22.0,No,Fluctuating,2 – I can afford only some of these items,8569.0
"$15,000 to $24,999",27.0,Yes,Unstable,3 – my time fluctuates,22306.0
"$25,000 to $34,999",31.0,No,Fluctuating,1 – I cannot afford these items,33084.0
"$35,000 to $49,999",27.0,No,Unstable,1 – I cannot afford these items,44937.0
"$15,000 to $24,999",28.0,No,Fluctuating,3 – my time fluctuates,20953.0
"$15,000 to $24,999",24.0,No,Fluctuating,3 – my time fluctuates,21194.0
"$15,000 to $24,999",18.0,No,Unstable,2 – I can afford only some of these items,20218.0
"Under $15,000",27.0,No,Extremely unstable,1 – I cannot afford these items,12516.0
"$50,000 to $74,999",31.0,No,Unstable,4 – I can afford these items,63727.0
"$35,000 to $49,999",28.0,Yes,Fluctuating,3 – my time fluctuates,48715.0
"$25,000 to $34,999",31.0,No,Fluctuating,2 – I can afford only some of these items,34718.0
"$25,000 to $34,999",33.0,No,Unstable,3 – my time fluctuates,27679.0
"$15,000 to $24,999",31.0,Yes,Fluctuating,2 – I can afford only some of these items,15857.0
"$15,000 to $24,999",28.0,No,Extremely unstable,2 – I can afford only some of these items,16223.0
"$15,000 to $24,999",29.0,No,Extremely unstable,1 – I cannot afford these items,20125.0
"$25,000 to $34,999",27.0,Yes,Fluctuating,2 – I can afford only some of these items,26078.0
"$15,000 to $24,999",35.0,Yes,Unstable,3 – my time fluctuates,22151.0
"$25,000 to $34,999",32.0,No,Extremely unstable,1 – I cannot afford these items,27527.0
"$25,000 to $34,999",42.0,No,Fluctuating,3 – my time fluctuates,28615.0
"Under $15,000",24.0,Yes,Fluctuating,2 – I can afford only some of these items,4447.0
"$25,000 to $34,999",33.0,No,Unstable,3 – my time fluctuates,30468.0
"$50,000 to $74,999",64.0,Yes,Fluctuating,3 – my time fluctuates,55559.0
"$25,000 to $34,999",27.0,Yes,Unstable,2 – I can afford only some of these items,33024.0
"Under $15,000",62.0,Yes,Unstable,3 – my time fluctuates,12215.0
"$35,000 to $49,999",25.0,No,Fluctuating,1 – I cannot afford these items,45999.0
"$25,000 to $34,999",61.0,No,Fluctuating,2 – I can afford only some of these items,31259.0
"$25,000 to $34,999",26.0,No,Unstable,1 – I cannot afford these items,27897.0
"$35,000 to $49,999",35.0,No,Unstable,1 – I cannot afford these items,35482.0
"$75,000 to $99,999",43.0,No,Unstable,2 – I can afford only some of these items,90989.0
"$15,000 to $24,999",40.0,No,Unstable,2 – I can afford only some of these items,22964.0
"$35,000 to $49,999",35.0,Yes,Stable,3 – my time fluctuates,43466.0
"$25,000 to $34,999",35.0,Yes,Fluctuating,3 – my time fluctuates,28958.0
"Under $15,000",22.0,No,Fluctuating,2 – I can afford only some of these items,10065.0
"$35,000 to $49,999",28.0,Yes,Unstable,2 – I can afford only some of these items,49981.0
"Under $15,000",50.0,No,Fluctuating,1 – I cannot afford these items,12582.0
"$15,000 to $24,999",29.0,No,Unstable,1 – I cannot afford these items,21484.0
"$25,000 to $34,999",65.0,Yes,Unstable,3 – my time fluctuates,26090.0
"Under $15,000",28.0,No,Extremely unstable,1 – I cannot afford these items,12368.0
"$25,000 to $34,999",47.0,No,Extremely unstable,1 – I cannot afford these items,31899.0
"Under $15,000",35.0,No,Extremely unstable,1 – I cannot afford these items,11759.0
"$15,000 to $24,999",34.0,Yes,Unstable,2 – I can afford only some of these items,16724.0
"Under $15,000",25.0,Yes,Unstable,2 – I can afford only some of these items,13069.0
"Under $15,000",34.0,No,Extremely unstable,1 – I cannot afford these items,8993.0
"Under $15,000",46.0,No,Fluctuating,3 – my time fluctuates,12492.0
"$35,000 to $49,999",44.0,Yes,Unstable,2 – I can afford only some of these items,47757.0
"$35,000 to $49,999",71.0,Yes,Extremely unstable,1 – I cannot afford these items,48950.0
"$25,000 to $34,999",34.0,No,Extremely unstable,2 – I can afford only some of these items,27341.0
"$25,000 to $34,999",30.0,No,Unstable,1 – I cannot afford these items,28192.0
"$50,000 to $74,999",27.0,No,Extremely unstable,2 – I can afford only some of these items,55842.0
"$15,000 to $24,999",51.0,No,Fluctuating,1 – I cannot afford these items,15387.0
"Under $15,000",56.0,No,Extremely unstable,1 – I cannot afford these items,10423.0
"$35,000 to $49,999",31.0,No,Extremely unstable,1 – I cannot afford these items,36063.0
"$35,000 to $49,999",29.0,Yes,Fluctuating,2 – I can afford only some of these items,47863.0
"Under $15,000",36.0,Yes,Extremely unstable,3 – my time fluctuates,6758.0
"$15,000 to $24,999",23.0,Yes,Unstable,2 – I can afford only some of these items,23479.0
"$35,000 to $49,999",37.0,Yes,Fluctuating,3 – my time fluctuates,41709.0
"$15,000 to $24,999",27.0,No,Unstable,2 – I can afford only some of these items,24820.0
"$15,000 to $24,999",36.0,No,Unstable,2 – I can afford only some of these items,20959.0
"$15,000 to $24,999",34.0,Yes,Fluctuating,2 – I can afford only some of these items,19606.0
"$35,000 to $49,999",53.0,Yes,Fluctuating,1 – I cannot afford these items,45943.0
"$25,000 to $34,999",28.0,No,Fluctuating,2 – I can afford only some of these items,34481.0
"$35,000 to $49,999",30.0,No,Fluctuating,1 – I cannot afford these items,48136.0
"$15,000 to $24,999",51.0,No,Unstable,2 – I can afford only some of these items,19284.0
"$15,000 to $24,999",39.0,No,Unstable,1 – I cannot afford these items,20289.0
"$15,000 to $24,999",22.0,No,Unstable,1 – I cannot afford these items,24761.0
"$15,000 to $24,999",24.0,No,Unstable,2 – I can afford only some of these items,20933.0
"$25,000 to $34,999",30.0,Yes,Fluctuating,3 – my time fluctuates,28271.0
"$25,000 to $34,999",24.0,No,Unstable,1 – I cannot afford these items,31001.0
"$15,000 to $24,999",49.0,No,Extremely unstable,1 – I cannot afford these items,20440.0
"$15,000 to $24,999",24.0,Yes,Fluctuating,2 – I can afford only some of these items,21958.0
"$15,000 to $24,999",32.0,No,Fluctuating,1 – I cannot afford these items,17816.0
"$25,000 to $34,999",43.0,No,Extremely unstable,1 – I cannot afford these items,25806.0
"Under $15,000",31.0,No,Unstable,2 – I can afford only some of these items,13583.0
"$15,000 to $24,999",38.0,No,Extremely unstable,1 – I cannot afford these items,15814.0
"$15,000 to $24,999",28.0,No,Unstable,2 – I can afford only some of these items,17791.0
"Under $15,000",41.0,No,Fluctuating,3 – my time fluctuates,9522.0
"$35,000 to $49,999",25.0,No,Unstable,2 – I can afford only some of these items,40080.0
"$15,000 to $24,999",25.0,Yes,Fluctuating,3 – my time fluctuates,22236.0
"$25,000 to $34,999",36.0,Yes,Fluctuating,3 – my time fluctuates,27524.0
"$15,000 to $24,999",35.0,No,Extremely unstable,1 – I cannot afford these items,22295.0
"$50,000 to $74,999",65.0,No,Stable,1 – I cannot afford these items,63421.0
"$15,000 to $24,999",57.0,No,Extremely unstable,2 – I can afford only some of these items,22826.0
"$15,000 to $24,999",34.0,No,Unstable,1 – I cannot afford these items,16012.0
"$15,000 to $24,999",34.0,No,Fluctuating,2 – I can afford only some of these items,21442.0
"$50,000 to $74,999",30.0,No,Fluctuating,2 – I can afford only some of these items,57808.0
"$25,000 to $34,999",55.0,Yes,Unstable,2 – I can afford only some of these items,32029.0
"$15,000 to $24,999",27.0,Yes,Extremely unstable,1 – I cannot afford these items,16944.0
"$35,000 to $49,999",24.0,No,Fluctuating,2 – I can afford only some of these items,39964.0
"$25,000 to $34,999",30.0,No,Extremely unstable,1 – I cannot afford these items,32487.0
"$75,000 to $99,999",32.0,Yes,Stable,3 – my time fluctuates,94448.0
