id,lgbtqiap
P72WE3CPUG,Yes  
ATD2B8X9F7,Yes  
PZZBG4X1LF,No  
XR4HLPIO7J,Yes  
WI30O7ED02,No  
F85CXECJGT,Yes  
I7WQ6TX8FI,Yes  
QC3OGK1XGI,Yes  
B8IIES0VS4,No  
REHQKCR1TV,No  
NWX9JP7EL4,Yes  
UBZ4QWQOGD,I prefer not to answer  
H8FLQSAOGI,I prefer not to answer  
TQT0AUHVU4,I prefer not to answer  
75CJ41A77Y,No  
ROKQ6XVQLH,Yes  
LDD6ME1861,Yes  
1K56M42KBO,No  
44ONOQFJ8E,No  
HQ1OTBXC2N,Yes  
VOQ155YQKL,Yes  
F21F5E09AH,Yes  
ORX08QMYUD,Yes  
K4AAPM4TN7,No  
9IGLXH3V4D,No  
X75G8K5O9Y,Yes  
ISSVOC5QET,Yes  
HX0PF2O7CE,Yes  
4KUR6IEKL0,No  
X0F1NIFLGG,Yes  
SCFNLHXLQR,I prefer not to answer  
A9KOAFG9E0,Yes  
ZZVVLV0ZBY,No  
64NZXH1VWT,No  
1GCOT4J9X3,Yes  
DU6XJ5L2IF,No  
VUK5SETNWH,No  
OVHNML77IE,I prefer not to answer  
3SZN0BIR9M,Yes  
MJ2CBIS89H,No  
KEZF3GCX4O,I prefer not to answer  
2S6YI4EEAP,No  
IYL3RWLDW5,Yes  
1Q8LSF2H05,Yes  
DOGF742P1D,No  
B8V0WRZ5MC,Yes  
7D0S1E81MA,No  
PE2N9W64OL,Yes  
TUASYSYPIH,Yes  
5KZPQE4QAO,No  
BVEJ2I4XDF,No  
KQ38EUKDYI,No  
8Q4Y6HLOYG,No  
BB7L0HSUQK,Yes  
KSLXGMOZYO,No  
6TQ7HISUE4,Yes  
FDB5EYJG6V,No  
T9RSFPZTHQ,Yes  
NJ92S61PYL,Yes  
2SHZUGXQ9O,No  
JLD12HMI9M,I prefer not to answer  
7P8OTYGMVL,No  
6VN0L7CJDD,Yes  
MPBSNP2QG9,No  
ZPPZ732S7N,No  
D15C846N3T,Yes  
YKUGSFZF5W,Yes  
8FP0M4I5ZX,Yes  
5FOH6G9OTU,No  
M334NJI6VN,Yes  
CH5RU8ZDLZ,No  
0HBMUEUNWK,Yes  
JC3PJTFFL0,I prefer not to answer  
Q29V4BOJD5,No  
TOSMJP8RS5,No  
T5YAR5UA7Y,No  
QDAZBWT5PS,No  
E6WZVOSYHC,No  
4036KIL4B2,No  
B22X7D0I06,No  
HNRT6Q3LOQ,Yes  
U1TJTXXLYY,Yes  
YK1JA8X1RP,No  
Y1M4LO2PX3,Yes  
INEO5NEYWQ,Yes  
Z1VOQ68MCA,Yes  
QD15KXREDM,Yes  
9C6UDD7T1X,Yes  
55H5FNB78Z,No  
T3TXGLR7X2,No  
ROYJAMM4WA,No  
DJMXBHR7FX,Yes  
E7X4VHRYWH,Yes  
LX7G91L5RK,No  
50XP2JI8JM,No  
VH0U0QKOID,Yes  
TQ5YXKHMB1,Yes  
AUNVUL0E4M,I prefer not to answer  
370ISSRJPB,Yes  
SRZJVZFMPZ,No  
TMOZ9LHMEZ,Yes  
W3VIEU0X70,Yes  
