earning_mode,household_income_2021,debt,age,income
Art Practice,"Under $15,000",Prefer not to answer ,38.0,10449.0
Contracts or Temporary Jobs,"Under $15,000",Prefer not to answer ,38.0,10652.0
Unemployed,"Under $15,000",Yes,36.0,13524.0
Art Practice,"Under $15,000",Yes,36.0,11199.0
One or More Part-time Jobs,"Under $15,000",Yes,36.0,12452.0
Contracts or Temporary Jobs,"Under $15,000",No,33.0,7205.0
Art Practice,"$25,000 to $34,999",Yes,43.0,33430.0
Unemployed,"$15,000 to $24,999",Yes,24.0,15296.0
Family Support,"$75,000 to $99,999",Yes,33.0,78230.0
Contracts or Temporary Jobs,"$75,000 to $99,999",Yes,33.0,99496.0
One or More Part-time Jobs,"$75,000 to $99,999",Yes,33.0,75462.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,68.0,22986.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,34.0,23277.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,29.0,45541.0
Art Practice,"Under $15,000",Yes,44.0,5384.0
Art Practice,"$15,000 to $24,999",Prefer not to answer ,38.0,19908.0
Art Practice,"Under $15,000",No,29.0,2864.0
Other,"$15,000 to $24,999",Yes,66.0,18386.0
Unemployed,"$15,000 to $24,999",Yes,62.0,15401.0
Other,"$15,000 to $24,999",Yes,62.0,15180.0
Contracts or Temporary Jobs,"Under $15,000",No,42.0,5239.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,22042.0
Unemployed,"$15,000 to $24,999",Yes,39.0,17408.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,39.0,16283.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,39.0,19063.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,50.0,43954.0
Art Practice,"$15,000 to $24,999",Yes,31.0,20127.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,54.0,21929.0
One or More Part-time Jobs,"$15,000 to $24,999",Prefer not to answer ,54.0,20054.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,34.0,27494.0
One or More Part-time Jobs,"Under $15,000",Yes,20.0,5263.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,18043.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,30.0,17509.0
Unemployed,"$15,000 to $24,999",Yes,31.0,24651.0
Other,"$15,000 to $24,999",Yes,31.0,21851.0
Unemployed,"$25,000 to $34,999",Yes,49.0,26005.0
Other,"$25,000 to $34,999",Yes,49.0,28943.0
Contracts or Temporary Jobs,"Under $15,000",Prefer not to answer ,35.0,913.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,52.0,37235.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,30.0,44256.0
Unemployed,"$15,000 to $24,999",No,50.0,20694.0
Art Practice,"$15,000 to $24,999",No,50.0,17274.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,50.0,15817.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,34227.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,32.0,25033.0
Fulltime Job,"$35,000 to $49,999",Yes,37.0,37590.0
