earning_mode,household_income_2021,debt,age,income
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,21179.0
Contracts or Temporary Jobs,"Under $15,000",Yes,38.0,561.0
Contracts or Temporary Jobs,"Under $15,000",Yes,42.0,6676.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,33.0,23197.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,33.0,15839.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,25.0,22737.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,39.0,34996.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,12274.0
One or More Part-time Jobs,"Under $15,000",Yes,29.0,10415.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,36.0,50609.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,36.0,61077.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,42.0,21811.0
Contracts or Temporary Jobs,"Under $15,000",No,30.0,2935.0
Contracts or Temporary Jobs,"$50,000 to $74,999",No,31.0,52462.0
One or More Part-time Jobs,"$50,000 to $74,999",No,31.0,57097.0
Contracts or Temporary Jobs,"Under $15,000",No,24.0,4789.0
One or More Part-time Jobs,"Under $15,000",No,24.0,11414.0
Unemployed,"Under $15,000",No,44.0,12352.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,32.0,39571.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,26.0,16890.0
One or More Part-time Jobs,"$15,000 to $24,999",No,26.0,21213.0
Art Practice,"$15,000 to $24,999",Yes,27.0,16157.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,23.0,17481.0
Art Practice,"$15,000 to $24,999",No,36.0,24659.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,36.0,22856.0
One or More Part-time Jobs,"$15,000 to $24,999",No,36.0,21890.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,45.0,49957.0
Unemployed,"Under $15,000",Yes,29.0,6728.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,1288.0
One or More Part-time Jobs,"Under $15,000",Yes,29.0,7603.0
Unemployed,"$15,000 to $24,999",Yes,34.0,17293.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,15888.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,34.0,15811.0
Unemployed,"$25,000 to $34,999",Yes,34.0,31018.0
Other,"$25,000 to $34,999",Yes,34.0,29883.0
Fulltime Job,"$50,000 to $74,999",Yes,28.0,59754.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,28.0,51994.0
Other,"$50,000 to $74,999",Yes,28.0,69009.0
Fulltime Job,"$50,000 to $74,999",Yes,46.0,65976.0
Art Practice,"$15,000 to $24,999",Yes,28.0,20893.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,20538.0
Unemployed,"$15,000 to $24,999",Yes,44.0,19605.0
Unemployed,"Under $15,000",Prefer not to answer ,27.0,13581.0
Art Practice,"Under $15,000",Prefer not to answer ,27.0,6033.0
Other,"$50,000 to $74,999",Yes,72.0,62703.0
Art Practice,"$15,000 to $24,999",No,36.0,20931.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,36.0,22172.0
One or More Part-time Jobs,"Under $15,000",Yes,64.0,4212.0
Other,"Under $15,000",Yes,64.0,13922.0
Art Practice,"Under $15,000",Yes,37.0,4523.0
One or More Part-time Jobs,"Under $15,000",Yes,37.0,976.0
Art Practice,"$25,000 to $34,999",Yes,37.0,28715.0
Art Practice,"$15,000 to $24,999",No,35.0,17371.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,35.0,48417.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,35.0,41805.0
Art Practice,"$35,000 to $49,999",Yes,63.0,36112.0
Family Support,"Under $15,000",Yes,57.0,5868.0
Art Practice,"$25,000 to $34,999",Prefer not to answer ,40.0,28678.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Prefer not to answer ,40.0,34463.0
Contracts or Temporary Jobs,"Under $15,000",Yes,37.0,92.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,24.0,29273.0
Art Practice,"$15,000 to $24,999",No,29.0,23456.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,21.0,31417.0
One or More Part-time Jobs,"$25,000 to $34,999",No,21.0,25501.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,41.0,39998.0
Other,"$15,000 to $24,999",Yes,69.0,18066.0
Unemployed,"Under $15,000",Yes,22.0,13032.0
Art Practice,"Under $15,000",Yes,22.0,8373.0
Contracts or Temporary Jobs,"Under $15,000",Yes,22.0,464.0
Fulltime Job,"Under $15,000",Yes,26.0,14175.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,51.0,67623.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,33.0,28851.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,33.0,28428.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,54.0,31818.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,34.0,49317.0
One or More Part-time Jobs,"Under $15,000",Yes,32.0,6334.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,27.0,31845.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,27.0,33672.0
Fulltime Job,"$50,000 to $74,999",Yes,25.0,56667.0
One or More Part-time Jobs,"$15,000 to $24,999",Prefer not to answer ,25.0,21961.0
Unemployed,"Under $15,000",Yes,32.0,14038.0
Art Practice,"Under $15,000",Yes,32.0,6710.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,26.0,27124.0
Unemployed,"Under $15,000",No,42.0,11927.0
Art Practice,"Under $15,000",No,42.0,12768.0
Contracts or Temporary Jobs,"Under $15,000",No,42.0,12225.0
Art Practice,"$25,000 to $34,999",Yes,64.0,30305.0
Art Practice,"Under $15,000",No,33.0,14102.0
One or More Part-time Jobs,"Under $15,000",No,33.0,13390.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,41.0,20770.0
Unemployed,"Under $15,000",Prefer not to answer ,42.0,7033.0
Art Practice,"Under $15,000",Prefer not to answer ,42.0,13459.0
Contracts or Temporary Jobs,"Under $15,000",Prefer not to answer ,42.0,6730.0
Unemployed,"$15,000 to $24,999",Yes,38.0,19156.0
Art Practice,"$15,000 to $24,999",Yes,38.0,16428.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,38.0,15248.0
Unemployed,"Under $15,000",Yes,24.0,7416.0
Fulltime Job,"$15,000 to $24,999",Yes,26.0,16205.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,54.0,64712.0
Unemployed,"Under $15,000",Yes,35.0,4952.0
Unemployed,"$100,000 to $149,999",Yes,36.0,110230.0
Other,"$100,000 to $149,999",Yes,36.0,122969.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,34.0,29855.0
Fulltime Job,"$25,000 to $34,999",Yes,37.0,28690.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,26.0,15037.0
One or More Part-time Jobs,"$15,000 to $24,999",No,26.0,20984.0
Family Support,"Under $15,000",Yes,54.0,11901.0
Unemployed,"Under $15,000",Yes,71.0,1367.0
Other,"Under $15,000",Yes,71.0,13305.0
Unemployed,"Under $15,000",Yes,27.0,9569.0
Family Support,"Under $15,000",Yes,27.0,2541.0
Art Practice,"Under $15,000",Yes,27.0,10417.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,11576.0
Unemployed,"Under $15,000",Yes,25.0,11548.0
Family Support,"Under $15,000",Yes,25.0,13803.0
Family Support,"$25,000 to $34,999",Yes,34.0,34238.0
Fulltime Job,"$25,000 to $34,999",Yes,34.0,28931.0
Art Practice,"$35,000 to $49,999",Yes,40.0,42021.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,40.0,45447.0
Art Practice,"$15,000 to $24,999",Yes,41.0,16666.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,41.0,24613.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,41.0,24320.0
Art Practice,"$15,000 to $24,999",Yes,24.0,22361.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,24.0,23285.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,24.0,27666.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,24.0,32681.0
Fulltime Job,"$15,000 to $24,999",Yes,25.0,20855.0
Unemployed,"$15,000 to $24,999",Yes,39.0,16615.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,39.0,20186.0
Other,"$15,000 to $24,999",Yes,39.0,21429.0
Unemployed,"$15,000 to $24,999",No,23.0,19895.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,23.0,18446.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,41.0,46792.0
Unemployed,"$50,000 to $74,999",Yes,26.0,71330.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,7754.0
Unemployed,"$25,000 to $34,999",No,29.0,33157.0
Art Practice,"$25,000 to $34,999",No,29.0,32820.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,29.0,31228.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,37.0,42977.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,30.0,21934.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,24558.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,18944.0
Other,"$15,000 to $24,999",Yes,28.0,23320.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,43.0,22514.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,43.0,21180.0
Fulltime Job,"$35,000 to $49,999",No,31.0,43982.0
Other,"$35,000 to $49,999",No,31.0,35045.0
Unemployed,"Under $15,000",Yes,42.0,3513.0
Unemployed,"$15,000 to $24,999",No,47.0,16294.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,47.0,22589.0
Family Support,"$15,000 to $24,999",Yes,49.0,20376.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,49.0,15914.0
Other,"$15,000 to $24,999",Yes,49.0,20398.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,28.0,33312.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,25402.0
Art Practice,"$15,000 to $24,999",No,39.0,20839.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,29.0,28106.0
Unemployed,"Under $15,000",Yes,42.0,6735.0
Family Support,"Under $15,000",Yes,39.0,3325.0
Contracts or Temporary Jobs,"Under $15,000",Yes,39.0,14478.0
Art Practice,"Under $15,000",Yes,41.0,10739.0
Contracts or Temporary Jobs,"Under $15,000",Yes,28.0,14002.0
One or More Part-time Jobs,"Under $15,000",Yes,28.0,10200.0
Family Support,"Under $15,000",No,63.0,9580.0
Contracts or Temporary Jobs,"Under $15,000",No,63.0,9117.0
Unemployed,"Under $15,000",No,33.0,8800.0
Contracts or Temporary Jobs,"Under $15,000",No,33.0,11433.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,29.0,45863.0
One or More Part-time Jobs,"Under $15,000",Yes,0.0,6019.0
Family Support,"Under $15,000",Yes,27.0,3176.0
Art Practice,"Under $15,000",Yes,27.0,14998.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,1965.0
Other,"$35,000 to $49,999",No,66.0,41100.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,62.0,16778.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,36.0,24433.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,36.0,17526.0
Unemployed,"$25,000 to $34,999",No,24.0,32968.0
Unemployed,"$15,000 to $24,999",Yes,35.0,17187.0
Other,"$15,000 to $24,999",Yes,35.0,18678.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,33.0,18752.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,22.0,20068.0
One or More Part-time Jobs,"$15,000 to $24,999",No,22.0,24754.0
Art Practice,"Under $15,000",Yes,30.0,5538.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,8009.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,21460.0
Unemployed,"Under $15,000",Prefer not to answer ,29.0,11371.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,19582.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,35.0,45276.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,31.0,17185.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,42.0,28933.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,42.0,34481.0
Unemployed,"Under $15,000",Yes,28.0,147.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,35.0,34249.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,35.0,30700.0
Art Practice,"Under $15,000",Yes,35.0,8009.0
Family Support,"$35,000 to $49,999",Yes,48.0,36276.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,34708.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,32.0,27539.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,19054.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,34.0,18491.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,31.0,25604.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,31.0,30192.0
Contracts or Temporary Jobs,"Under $15,000",No,44.0,9360.0
One or More Part-time Jobs,"$15,000 to $24,999",No,31.0,19583.0
Contracts or Temporary Jobs,"Under $15,000",Yes,22.0,1803.0
One or More Part-time Jobs,"Under $15,000",Yes,22.0,13531.0
Art Practice,"$25,000 to $34,999",Yes,40.0,33124.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,0.0,19792.0
Unemployed,"$15,000 to $24,999",Yes,34.0,17981.0
Art Practice,"$15,000 to $24,999",Yes,34.0,22726.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,19202.0
Unemployed,"$15,000 to $24,999",No,25.0,15437.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,25.0,18925.0
Unemployed,"$35,000 to $49,999",Yes,37.0,42629.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,37.0,38583.0
Family Support,"Under $15,000",Yes,39.0,6825.0
Other,"Under $15,000",Yes,39.0,14760.0
Unemployed,"Under $15,000",Yes,28.0,986.0
Contracts or Temporary Jobs,"Under $15,000",Yes,28.0,9580.0
Art Practice,"$25,000 to $34,999",Yes,46.0,28451.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,46.0,29463.0
Family Support,"$15,000 to $24,999",Yes,36.0,21932.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,36.0,24616.0
Other,"$15,000 to $24,999",Yes,36.0,24826.0
Unemployed,"Under $15,000",Yes,25.0,1533.0
Other,"Under $15,000",Yes,25.0,8212.0
Art Practice,"$35,000 to $49,999",Yes,35.0,49115.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,35.0,39418.0
Other,"$15,000 to $24,999",Yes,41.0,18637.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,25.0,17550.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,23397.0
Unemployed,"Under $15,000",No,34.0,8082.0
Unemployed,"$50,000 to $74,999",Prefer not to answer ,33.0,50096.0
Unemployed,"$25,000 to $34,999",Yes,34.0,27296.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,34.0,25671.0
Unemployed,"$15,000 to $24,999",Yes,32.0,20634.0
Other,"$15,000 to $24,999",Yes,32.0,15746.0
Art Practice,"$15,000 to $24,999",No,33.0,16813.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,33.0,21511.0
Family Support,"$50,000 to $74,999",Yes,25.0,56008.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,25.0,61437.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,25.0,64352.0
Fulltime Job,"$25,000 to $34,999",Yes,29.0,25881.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,32.0,30739.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,32.0,31145.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,42.0,26088.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,42.0,27860.0
Other,"$25,000 to $34,999",Yes,32.0,34165.0
Contracts or Temporary Jobs,"Under $15,000",No,28.0,4042.0
Other,"Under $15,000",No,28.0,11342.0
Unemployed,"$25,000 to $34,999",Yes,25.0,25894.0
Art Practice,"$25,000 to $34,999",Yes,25.0,34264.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,25.0,31400.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,37.0,24935.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,20028.0
Contracts or Temporary Jobs,"Under $15,000",No,26.0,12367.0
One or More Part-time Jobs,"Under $15,000",No,26.0,11769.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,24.0,26398.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,33.0,18342.0
Fulltime Job,"$35,000 to $49,999",Yes,28.0,43013.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,43.0,30984.0
One or More Part-time Jobs,"$25,000 to $34,999",No,43.0,32700.0
One or More Part-time Jobs,"Under $15,000",Yes,52.0,965.0
Unemployed,"Under $15,000",Yes,37.0,1907.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,34.0,34156.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,15175.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,27.0,15119.0
Unemployed,"$15,000 to $24,999",Yes,41.0,22240.0
Unemployed,"$15,000 to $24,999",Yes,32.0,19025.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,23283.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,50.0,34975.0
Unemployed,"$50,000 to $74,999",No,63.0,64811.0
Unemployed,"$15,000 to $24,999",Yes,37.0,21408.0
Family Support,"$15,000 to $24,999",Yes,37.0,18302.0
Art Practice,"$15,000 to $24,999",Yes,23.0,21496.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,23.0,17963.0
Art Practice,"$35,000 to $49,999",Yes,55.0,38278.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,55.0,38274.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,19539.0
Other,"Under $15,000",Yes,39.0,9040.0
Unemployed,"Under $15,000",Yes,26.0,4190.0
Fulltime Job,"$15,000 to $24,999",Yes,29.0,24350.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,29.0,21077.0
Art Practice,"$25,000 to $34,999",Yes,40.0,27746.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,40.0,31339.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,18062.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,32.0,16939.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,28.0,33067.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,28.0,28106.0
Family Support,"$15,000 to $24,999",Prefer not to answer ,25.0,20999.0
Art Practice,"Under $15,000",Yes,37.0,6639.0
Contracts or Temporary Jobs,"Under $15,000",Yes,37.0,5556.0
Art Practice,"$25,000 to $34,999",Yes,45.0,26399.0
Art Practice,"Under $15,000",No,46.0,3455.0
Contracts or Temporary Jobs,"Under $15,000",No,46.0,1747.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,55.0,17262.0
Unemployed,"Under $15,000",Yes,29.0,8255.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,1699.0
One or More Part-time Jobs,"Under $15,000",Yes,29.0,9422.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,44.0,73562.0
Unemployed,"$15,000 to $24,999",No,33.0,21210.0
Art Practice,"$15,000 to $24,999",No,33.0,18517.0
Unemployed,"Under $15,000",Prefer not to answer ,32.0,4793.0
Family Support,"Under $15,000",Prefer not to answer ,32.0,9797.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,31.0,22472.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,31.0,21950.0
Unemployed,"$15,000 to $24,999",Yes,36.0,21766.0
Art Practice,"$15,000 to $24,999",Yes,36.0,19072.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,36.0,15035.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,67.0,23529.0
Contracts or Temporary Jobs,"Under $15,000",Yes,59.0,12867.0
Other,"Under $15,000",Yes,59.0,7417.0
Art Practice,"$15,000 to $24,999",Yes,26.0,20094.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,18406.0
Unemployed,"Under $15,000",No,31.0,7323.0
Family Support,"Under $15,000",No,31.0,603.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,23.0,26877.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,37.0,16027.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,37.0,21225.0
Contracts or Temporary Jobs,"Under $15,000",Yes,46.0,4529.0
Other,"Under $15,000",Yes,46.0,5668.0
Other,"Under $15,000",Prefer not to answer ,71.0,10066.0
Family Support,"Under $15,000",No,31.0,6228.0
Art Practice,"Under $15,000",No,31.0,12428.0
Art Practice,"$15,000 to $24,999",Yes,69.0,15355.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,69.0,16969.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,56.0,19141.0
Fulltime Job,"$15,000 to $24,999",Yes,32.0,20217.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,38.0,21742.0
One or More Part-time Jobs,"$15,000 to $24,999",Prefer not to answer ,38.0,19781.0
Fulltime Job,"$25,000 to $34,999",Yes,30.0,28241.0
Other,"$25,000 to $34,999",Yes,30.0,30426.0
Art Practice,"Under $15,000",Yes,46.0,3300.0
Contracts or Temporary Jobs,"Under $15,000",Yes,46.0,3020.0
Art Practice,"$15,000 to $24,999",No,35.0,15223.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,35.0,15259.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,39.0,32704.0
Other,"$25,000 to $34,999",Yes,39.0,30216.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,37.0,28464.0
Unemployed,"$25,000 to $34,999",Yes,28.0,34406.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,28.0,34544.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,27.0,19711.0
Art Practice,"$15,000 to $24,999",Yes,25.0,23165.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,25.0,24856.0
Unemployed,"$15,000 to $24,999",Yes,31.0,18879.0
Art Practice,"$15,000 to $24,999",Yes,31.0,19684.0
Other,"$15,000 to $24,999",Yes,31.0,20155.0
Unemployed,"Under $15,000",Yes,30.0,72.0
Family Support,"Under $15,000",Yes,30.0,12083.0
One or More Part-time Jobs,"Under $15,000",Yes,28.0,3138.0
Unemployed,"$25,000 to $34,999",Yes,28.0,27139.0
Art Practice,"$25,000 to $34,999",Yes,28.0,28282.0
Family Support,"$15,000 to $24,999",Yes,21.0,21861.0
Fulltime Job,"$15,000 to $24,999",Yes,21.0,21452.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,21.0,21274.0
Unemployed,"Under $15,000",Yes,52.0,14955.0
Unemployed,"$15,000 to $24,999",Yes,71.0,15729.0
One or More Part-time Jobs,"Under $15,000",Yes,46.0,11697.0
Unemployed,"Under $15,000",Yes,60.0,14371.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,33.0,39502.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,25.0,37422.0
Fulltime Job,"$50,000 to $74,999",Yes,29.0,60387.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,34.0,36320.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,34.0,47102.0
Other,"$35,000 to $49,999",Yes,34.0,44280.0
Other,"$15,000 to $24,999",Yes,51.0,15391.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,13270.0
One or More Part-time Jobs,"Under $15,000",Yes,30.0,11469.0
Art Practice,"$15,000 to $24,999",Yes,33.0,16490.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,33.0,23517.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,33.0,20955.0
Unemployed,"$50,000 to $74,999",No,50.0,67938.0
Art Practice,"$15,000 to $24,999",No,53.0,22571.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,39.0,24618.0
Other,"$15,000 to $24,999",Yes,39.0,24344.0
Family Support,"Under $15,000",No,57.0,5953.0
Other,"Under $15,000",No,57.0,562.0
